Camera, Image File Name, Description, Image Location - Easting Coordinate* Image Location - Northing Coordinate* URL
ST725F, ST725F.JPG, Lion Rock Tunnel Road near Sun Tin Wai Estate, 837361 825546 http://tdcctv.data.one.gov.hk/ST725F.JPG
ST731F, ST731F.JPG, Ma On Shan Bypass near Heng On Estate, 841532 830528 http://tdcctv.data.one.gov.hk/ST731F.JPG
ST732F, ST732F.JPG, Ma On Shan Bypass near Yiu On Estate, 842035 830893 http://tdcctv.data.one.gov.hk/ST732F.JPG
SW109F, SW109F.JPG, Yuen Long Highway near Hung Tin Road, 818100 832003 http://tdcctv.data.one.gov.hk/SW109F.JPG
SW111F, SW111F.JPG, Yuen Long Highway near Tong Yan San Tsuen Interchange, 819442 833173 http://tdcctv.data.one.gov.hk/SW111F.JPG
SW112F, SW112F.JPG, Yuen Long Highway near Shap Pat Heung, 821421 832797 http://tdcctv.data.one.gov.hk/SW112F.JPG
SW113F, SW113F.JPG, Yuen Long Highway near Pok Oi Interchange, 822114 833747 http://tdcctv.data.one.gov.hk/SW113F.JPG
TI101F, TI101F.JPG, Castle Peak Road near Hung Shui Kiu, 818090 832902 http://tdcctv.data.one.gov.hk/TI101F.JPG
TM101F, TM101F.JPG, Wu Chui Road near Wu King Road, 814526 826116 http://tdcctv.data.one.gov.hk/TM101F.JPG
TM103F, TM103F.JPG, Lung Mun Road near Tuen Mun Recreation and Sports Centre, 814447 827250 http://tdcctv.data.one.gov.hk/TM103F.JPG
TM118F, TM118F.JPG, Pui To Road near Tuen Mun Park, 815352 828319 http://tdcctv.data.one.gov.hk/TM118F.JPG
TR704F, TR704F.JPG, Tuen Mun Road near Tsing Yin Street, 815621 828752 http://tdcctv.data.one.gov.hk/TR704F.JPG
YL101F, YL101F.JPG, Long Tin Road near Long Ping Road, 819746 834085 http://tdcctv.data.one.gov.hk/YL101F.JPG
YL106F, YL106F.JPG, Castle Peak Road nearYuen Long, 821368 833929 http://tdcctv.data.one.gov.hk/YL106F.JPG
YL111F, YL111F.JPG, Castle Peak Road near Pok Oi Interchange, 821917 833889 http://tdcctv.data.one.gov.hk/YL111F.JPG
BC702F, BC702F.JPG, Castle Peak Road near Mai Po, 824086 838533 http://tdcctv.data.one.gov.hk/BC702F.JPG
TP113F, TP113F.JPG, Fanling Highway near Hong Lok Yuen Road, 833366 835885 http://tdcctv.data.one.gov.hk/TP113F.JPG
FH706F, FH706F.JPG, Fanling Highway near MTR Fanling Station, 832352 839113 http://tdcctv.data.one.gov.hk/FH706F.JPG
ST922F, ST922F.JPG, Lion Rock Tunnel Road near Hung Mui Kuk Road, 836845 825101 http://tdcctv.data.one.gov.hk/ST922F.JPG
SW103F, SW103F.JPG, Kong Sham Western Highway near Ha Tsuen, 815876 834298 http://tdcctv.data.one.gov.hk/SW103F.JPG
SW108F, SW108F.JPG, Yuen Long Highway near Tan Kwai Tsuen, 817746 831659 http://tdcctv.data.one.gov.hk/SW108F.JPG
TL102F, TL102F.JPG, Tai Lam Tunnel - Yuen Long Side, 824319 830139 http://tdcctv.data.one.gov.hk/TL102F.JPG
TL103F, TL103F.JPG, Tai Lam Tunnel - Ting Kau Side, 824981 826211 http://tdcctv.data.one.gov.hk/TL103F.JPG
TS102F, TS102F.JPG, Nam Wan Tunnel- Stonecutters Bridge side, 829111 821664 http://tdcctv.data.one.gov.hk/TS102F.JPG
TS104F, TS104F.JPG, Tsing Sha Highway near Lai Chi Kok, 832851 822646 http://tdcctv.data.one.gov.hk/TS104F.JPG
TS105F, TS105F.JPG, Sha Tin Heights Tunnel - Sha Tin Side, 835713 825356 http://tdcctv.data.one.gov.hk/TS105F.JPG
